Name,Email,Phone Number,Place,Favorite Pizza Type,Preferred Pizza Size,Preferred Pizza Crust,Favorite Pizza Toppings,Preferred Sauce Type,Spice Level (1-5),Dietary Restriction,How often do you eat pizza?,Preferred Day to Order Pizza,Do you prefer delivery or dine-in?,Favorite Pizza Brand,Do you customize your pizza?,What motivates your choice?,Would you recommend your favorite place?
Bryan Doyle,deanna.vargas@example.com,98884349943,South Chadfort,Hawaiian,Extra Large,Gluten-Free Crust,Bacon,BBQ,2,Lactose Intolerant,Once a month,Weekends,Delivery,Others,Yes,Taste,No
Matthew Bennett,michael.calhoun@example.com,76437296200,Port Tylerside,Margherita,Large,Gluten-Free Crust,Olives,Alfredo,3,Gluten-Free,Occasionally,Weekends,Delivery,Pizza Hut,Yes,Taste,No
Lisa Nelson,robert.bishop@example.com,93269535798,Lake Tiffanyfort,Margherita,Medium,Thick Crust,Bacon,Alfredo,5,None,Rarely,Any day,Takeaway,Local Pizzeria,No,Price,Yes
Melissa Chavez,cynthia.hancock@example.com,79044192414,Jamesland,Hawaiian,Extra Large,Gluten-Free Crust,Mushrooms,Alfredo,1,Vegan,Rarely,Weekdays,Dine-In,Domino's,No,Variety of Toppings,No
Nicole Soto,cameron.ewing@example.com,84079798544,Goodmanbury,Hawaiian,Large,Gluten-Free Crust,Mushrooms,BBQ,2,Vegan,Once a week,Weekdays,Dine-In,Pizza Hut,Yes,Variety of Toppings,No
Frank Norman,justin.smith@example.com,71347193380,Lake Richard,Hawaiian,Medium,Gluten-Free Crust,Sausage,Tomato,5,Gluten-Free,Rarely,Weekends,Delivery,Domino's,No,Delivery Speed,Yes
Phillip Carter,alexander.hudson@example.com,88792192512,North Melanie,Pepperoni,Small,Thick Crust,Bacon,Pesto,5,None,Once a week,Weekends,Delivery,Pizza Hut,No,Variety of Toppings,No
Wendy Rhodes,jordan.white@example.com,89258770023,Cynthiafurt,Margherita,Extra Large,Gluten-Free Crust,Bacon,BBQ,2,Vegan,Once a month,Weekends,Dine-In,Pizza Hut,No,Delivery Speed,No
Mrs. Tara Bradley,jerry.young@example.com,76355575850,New Davidstad,BBQ Chicken,Small,Thick Crust,Mushrooms,Pesto,1,Lactose Intolerant,Rarely,Weekdays,Takeaway,Local Pizzeria,No,Price,Yes
Steve Hernandez,michael.bridges@example.com,99812941263,Fordfurt,Margherita,Extra Large,Thin Crust,Sausage,Tomato,1,None,Rarely,Weekends,Takeaway,Local Pizzeria,No,Variety of Toppings,Yes
Brittany Williams,joseph.lopez@example.com,76645687380,Julieville,Margherita,Small,Cheese-Stuffed Crust,Pineapple,Pesto,5,None,Rarely,Any day,Takeaway,Local Pizzeria,Yes,Taste,No
Nicole Gray,randy.williams@example.com,77359659777,North Reneeberg,Margherita,Large,Gluten-Free Crust,Bacon,Alfredo,2,Vegan,Once a week,Any day,Dine-In,Others,No,Variety of Toppings,No
Melissa Gibson,michael.dyer@example.com,95118857534,South Amyview,Margherita,Small,Thin Crust,Bacon,Alfredo,5,Lactose Intolerant,Occasionally,Any day,Delivery,Local Pizzeria,No,Offers/Discounts,No
